iter	Logloss
0	0.664592804
1	0.6425625732
2	0.6256838776
3	0.6110488647
4	0.5995608795
5	0.5900356293
6	0.5808147369
7	0.5734098572
8	0.5668483551
9	0.5607061798
10	0.5548152344
11	0.5484518921
12	0.5435640045
13	0.5390301483
14	0.5343962402
15	0.5298674652
16	0.5258991058
17	0.5223441956
18	0.5188427917
19	0.515000061
20	0.5114834564
21	0.5084489105
22	0.5052244934
23	0.502238916
24	0.499668689
25	0.4967908264
26	0.4943754822
27	0.4915709442
28	0.4893197144
29	0.487134903
30	0.4849636139
31	0.4829670166
32	0.4808361145
33	0.4788604248
34	0.4764828552
35	0.47439487
36	0.4723537628
37	0.4705005035
38	0.4685135956
39	0.4664010773
40	0.4648600037
41	0.4633993408
42	0.4617975128
43	0.4600467773
44	0.458133075
45	0.4565683319
46	0.4548274353
47	0.4531040466
48	0.4514343719
49	0.4499159058
50	0.4482670593
51	0.4468854919
52	0.445498642
53	0.4438479553
54	0.4424340149
55	0.4411696533
56	0.4398828033
57	0.4388037842
58	0.4376518646
59	0.4365364807
60	0.4352505615
61	0.4340026184
62	0.4326575989
63	0.4315924164
64	0.4303417145
65	0.4292499146
66	0.4283313293
67	0.4272935669
68	0.4260530701
69	0.4251636932
70	0.4239163483
71	0.4229413086
72	0.4218717163
73	0.4209050964
74	0.4198540619
75	0.4187547852
76	0.4176861496
77	0.4166198868
78	0.4155777557
79	0.4147613602
80	0.4138591888
81	0.4128910034
82	0.4118412033
83	0.4110553452
84	0.4101419891
85	0.4092338989
86	0.4081765762
87	0.4071062988
88	0.4063186188
89	0.4053896484
90	0.4046015442
91	0.4036126297
92	0.4027519638
93	0.4020285507
94	0.4011707413
95	0.4002867996
96	0.3994799545
97	0.3986783966
98	0.3979257797
99	0.3972163895
100	0.3964499954
101	0.395666716
102	0.3948780624
103	0.3939538361
104	0.393175116
105	0.3924153915
106	0.3915476013
107	0.3907212936
108	0.3899690582
109	0.3891727417
110	0.388394696
111	0.3875906998
112	0.3868825104
113	0.3860905518
114	0.3852757355
115	0.3844557968
116	0.3836828339
117	0.3827549271
118	0.3820558578
119	0.3812669083
120	0.3805296021
121	0.3797534943
122	0.3789834946
123	0.3782685165
124	0.3775234192
125	0.37678694
126	0.3760940903
127	0.3753550949
128	0.3746922791
129	0.3739579117
130	0.3731279907
131	0.3725100647
132	0.3718371841
133	0.3711511551
134	0.3703647263
135	0.3696586716
136	0.3689531448
137	0.368281897
138	0.3676116074
139	0.3669090637
140	0.3662576202
141	0.3656081604
142	0.3649990707
143	0.3643576736
144	0.3637528732
145	0.3631360367
146	0.3624589355
147	0.3618203751
148	0.3612629333
149	0.360308374
150	0.3596217468
151	0.358993045
152	0.3584316376
153	0.3578024551
154	0.3571651245
155	0.3565591049
156	0.3559597977
157	0.3554049759
158	0.3548380463
159	0.3542979752
160	0.3537254257
161	0.3531496338
162	0.3526308945
163	0.3520188065
164	0.3514281937
165	0.3509531387
166	0.3504706543
167	0.3498929413
168	0.3493819305
169	0.3488864136
170	0.3483323959
171	0.3477975266
172	0.3472735062
173	0.3467387756
174	0.3462274933
175	0.3456863022
176	0.3451826553
177	0.3446686172
178	0.3441691803
179	0.3436613419
180	0.3431126846
181	0.3426227936
182	0.3421215546
183	0.3416399063
184	0.3411405029
185	0.3406563736
186	0.3400526886
187	0.3395537689
188	0.3390784058
189	0.3385883316
190	0.3380901276
191	0.3376322128
192	0.337160379
193	0.3367270599
194	0.3362089813
195	0.3357905563
196	0.3353171005
197	0.3348303223
198	0.334350618
199	0.3338226624
