iter	Passed	Remaining
0	573	114165
1	926	91720
2	1246	81838
3	1479	72476
4	1763	68776
5	2106	68108
6	2333	64348
7	2552	61260
8	2934	62269
9	3166	60162
10	3390	58249
11	3607	56512
12	3824	55006
13	4040	53682
14	4255	52480
15	4472	51439
16	4694	50531
17	5084	51409
18	5312	50607
19	5528	49757
20	5746	48981
21	5963	48250
22	6179	47553
23	6395	46897
24	6625	46376
25	6848	45834
26	7071	45309
27	7290	44784
28	7512	44298
29	7735	43832
30	7959	43393
31	8179	42940
32	8399	42506
33	8619	42082
34	8840	41676
35	9059	41271
36	9278	40874
37	9497	40489
38	9722	40134
39	9942	39769
40	10164	39420
41	10444	39292
42	10769	39320
43	10988	38959
44	11202	38586
45	11419	38229
46	11640	37894
47	11866	37577
48	12089	37254
49	12313	36939
50	12535	36624
51	12759	36315
52	12980	36002
53	13214	35729
54	13451	35463
55	13681	35181
56	13912	34902
57	14140	34620
58	14384	34376
59	14608	34085
60	14838	33812
61	15069	33541
62	15309	33292
63	15546	33036
64	15783	32781
65	16024	32535
66	16257	32273
67	16480	31990
68	16699	31704
69	16921	31425
70	17145	31150
71	17366	30873
72	17652	30710
73	17972	30601
74	18196	30327
75	18408	30035
76	18629	29758
77	18849	29482
78	19072	29212
79	19299	28949
80	19530	28693
81	19760	28435
82	19980	28165
83	20204	27901
84	20422	27630
85	20643	27364
86	20862	27097
87	21254	27050
88	21526	26847
89	21749	26583
90	21962	26307
91	22182	26040
92	22394	25765
93	22614	25501
94	22839	25243
95	23059	24980
96	23277	24717
97	23498	24457
98	23722	24201
99	23948	23948
100	24176	23697
101	24398	23441
102	24618	23184
103	24846	22935
104	25066	22679
105	25286	22423
106	25505	22168
107	25725	21914
108	25944	21660
109	26167	21409
110	26404	21171
111	26627	20921
112	26849	20671
113	27071	20422
114	27300	20178
115	27523	19930
116	27764	19696
117	27999	19457
118	28219	19208
119	28440	18960
120	28665	18715
121	28889	18470
122	29113	18225
123	29335	17980
124	29560	17736
125	29787	17493
126	30021	17256
127	30239	17009
128	30460	16764
129	30682	16521
130	30902	16276
131	31120	16031
132	31347	15791
133	31570	15549
134	31793	15307
135	32012	15064
136	32336	14870
137	32560	14628
138	32776	14383
139	32992	14139
140	33212	13897
141	33432	13655
142	33652	13413
143	33872	13172
144	34093	12932
145	34311	12690
146	34530	12449
147	34750	12209
148	34983	11974
149	35196	11732
150	35415	11492
151	35631	11252
152	35852	11013
153	36070	10774
154	36289	10535
155	36508	10297
156	36726	10058
157	36947	9821
158	37166	9583
159	37383	9345
160	37712	9135
161	37947	8901
162	38162	8662
163	38377	8424
164	38596	8187
165	38815	7950
166	39033	7713
167	39251	7476
168	39471	7240
169	39693	7004
170	39918	6769
171	40150	6536
172	40372	6300
173	40594	6065
174	40819	5831
175	41052	5598
176	41285	5364
177	41521	5131
178	41753	4898
179	41988	4665
180	42217	4431
181	42469	4200
182	42709	3967
183	42982	3737
184	43229	3505
185	43469	3271
186	43710	3038
187	43946	2805
188	44180	2571
189	44481	2341
190	44732	2107
191	44963	1873
192	45203	1639
193	45435	1405
194	45660	1170
195	45888	936
196	46121	702
197	46367	468
198	46590	234
199	46971	0
